0x5fff badstate
0x5ffe hciversionmismatch
0x5ffd alreadyactivated
0x5ffc modemlinkerror
0x5ffb tilshuttingdown
0x50c4 ServiceHashNotInTable
0x50c3 ServiceHashCollision
0x50c2 ClientHashNotInTable
0x50c1 ClientHashCollision
0x50b1 phoneinuse
0x50a6 simfilememoryfull
0x50a5 pin2permblocked
0x50a4 pinpermblocked
0x50a3 texttoolong
0x50a2 numbertoolong
0x50a1 accessdenied
0x50a0 simnotready
0x509f radiocmdfailed
0x509d simlocked
0x509c badpin
0x509b puk2locked
0x509a puklocked
0x5099 pin2required
0x5098 pinrequired
0x5097 dialpending
0x5096 illegalchars
0x5095 simmissing
0x5093 maxcallexceeded
0x5092 invalidphonenumber
0x5091 pdpcontextnotfound
0x508f nullstkmenu
0x508e badpdu
0x5088 pdudataoverflow
0x5087 atnotnotification
0x5086 atnotnotification
0x5085 gsminternal
0x5084 badatresponse
0x5083 portnotopen
0x5082 invalidport
0x5081 unlocknotallowed
0x5080 alreadylocked
0x5053 otaspnotallowed 
0x5052 cancelled
0x5051 setdataadvfieldsfailed
0x5050 getdataadvfieldsfailed
0x5049 aborted
0x5048 bufferoverflow
0x5047 radioinreset
0x5046 unknownaudioprofile
0x5045 fdnrestricted
0x5044 modemrejected
0x5043 inprogress
0x5042 authfailed
0x5041 unknownscaddress
0x5040 smsnetworkerror
0x503f emergencycall
0x503e nomorehandlersallowed 
0x503d noservice
0x503c objectnotactive
0x503b objectnotinitialized
0x503a phonelocked
0x5039 wronglockcode
0x5038 invalidlockcode
0x5037 invaliddatetime
0x5036 radiohardwareon
0x5035 iotais683error
0x5034 iotanvcmdfailed
0x5033 iotapendingis683
0x5032 iotainvalidcmd
0x5031 iotasessionactive 
0x5030 iotasessionnotactive
0x502f nvwritefailed
0x502e nvreadfailed
0x502d pdpwritefailed
0x502c pdpinuse
0x502b pdpindexnotset
0x502a pdpreadfailed
0x5019 badpdpindex
0x5018 badchecksum
0x5017 badsmessageflags
0x5016 badsessionid
0x5015 versionnotsupported
0x5014 badopcode
0x5013 serialtimeout
0x5012 nosuchhandler
0x5011 exnotretrieved
0x5010 nosuchcall
0x500f modenotsupported
0x500e badaddress
0x500d notallowed
0x500c phoneoff
0x500a radionotresponding
0x5009 responseready
0x5008 timeout
0x5007 noresponseready
0x5006 notinitialized
0x5005 memoryfailure
0x5004 msgnotfound
0x5002 queuefull
0x0000 success
0x5001 badparam
0x5000 failure
